endpoint	archivo	linea	framework
transfers/<str:payment_id>/send-banco/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	34	Python (Django)
transfers/<str:payment_id>/sca/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	36	Python (Django)
transfers/<str:payment_id>/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	37	Python (Django)
toggle-oauth/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	40	Python (Django)
oauth2/logs/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	41	Python (Django)
logs/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	42	Python (Django)
oauth2/log-visual/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	43	Python (Django)
transfers/notificaciones/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	44	Python (Django)
crear/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	47	Python (Django)
editar/<int:pk>/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	48	Python (Django)
eliminar/<int:pk>/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	49	Python (Django)
toggle_banco/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	50	Python (Django)
probar_banco/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	51	Python (Django)
diagnostico_banco/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	52	Python (Django)
ibans/	/home/markmur88/api_bank_h2/api/core/urls.py	6	Python (Django)
ibans/create/	/home/markmur88/api_bank_h2/api/core/urls.py	7	Python (Django)
ibans/<uuid:pk>/update/	/home/markmur88/api_bank_h2/api/core/urls.py	8	Python (Django)
ibans/<uuid:pk>/delete/	/home/markmur88/api_bank_h2/api/core/urls.py	9	Python (Django)
debtors/	/home/markmur88/api_bank_h2/api/core/urls.py	11	Python (Django)
debtors/create/	/home/markmur88/api_bank_h2/api/core/urls.py	12	Python (Django)
debtors/<uuid:pk>/update/	/home/markmur88/api_bank_h2/api/core/urls.py	13	Python (Django)
debtors/<uuid:pk>/delete/	/home/markmur88/api_bank_h2/api/core/urls.py	14	Python (Django)
/home/markmur88/scripts/schemas/keys	/home/markmur88/api_bank_h2/api/core/management/commands/genkey.py	20	Python (Django)
/home/markmur88/scripts/schemas/keys/logs	/home/markmur88/api_bank_h2/api/core/management/commands/genkey.py	21	Python (Django)
/home/markmur88/api_bank_h2/config/settings/base1.py	/home/markmur88/api_bank_h2/api/core/management/commands/genkey.py	22	Python (Django)
/home/markmur88/scripts/schemas/keys/logs/clave_gen.log	/home/markmur88/api_bank_h2/api/core/management/commands/genkey.py	23	Python (Django)
/home/markmur88/scripts/schemas/keys/client_id.key	/home/markmur88/api_bank_h2/api/core/management/commands/genkey.py	24	Python (Django)
nueva/	/home/markmur88/api_bank_h2/api/configuraciones_api/urls.py	6	Python (Django)
editar/<int:pk>/	/home/markmur88/api_bank_h2/api/configuraciones_api/urls.py	7	Python (Django)
eliminar/<int:pk>/	/home/markmur88/api_bank_h2/api/configuraciones_api/urls.py	8	Python (Django)
//fonts.googleapis.com/css?family=Roboto:300,400,700|Montserrat:400,700	/home/markmur88/api_bank_h2/staticfiles/drf-yasg/redoc-old/redoc.min.js	7	Python (Django)
+JSON.stringify(i)+	/home/markmur88/api_bank_h2/staticfiles/drf-yasg/redoc-old/redoc.min.js	7	Python (Django)
data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABMAAACgCAMAAADZ0KclAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAAZQTFRF////////VXz1bAAAAAJ0Uk5T/wDltzBKAAAA80lEQVR42uSWSwLCIAxEX+5/aa2QZBJw5UIt9QMdRqSPEAAw/TyvqzZf150NzdXL49qreXwXjeqz9bqN1tgJl/KLyaVrrL7K7gx+1vlNMqy+helOO4rfBGYZiEkq1ubQ3DeKvc97Et+d+e01vIZlLZZqb1WNJFd8ZKYsmv4Hh3H2fDgjMUI5WSExjiEZs7rEZ5T+/jQn9lhgsw53j/e9MQtxqPsbZY54M5fNl/MY/f1s7NbRSkYlYjc0KPsWMrmhIU9933ywxDiSE+upYNH8TdusUotllNvcAUzfnE/NC4OSYyklQhpdl9E4Tw0Cm4/G9xBgAO7VCkjWLOMfAAAAAElFTkSuQmCC	/home/markmur88/api_bank_h2/staticfiles/drf-yasg/redoc-old/redoc.min.js	7	Python (Django)
data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgeD0iMCIgeT0iMCIgd2lkdGg9IjUxMiIgaGVpZ2h0PSI1MTIiIHZpZXdCb3g9IjAgMCA1MTIgNTEyIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCA1MTIgNTEyIiB4bWw6c3BhY2U9InByZXNlcnZlIj48cGF0aCBmaWxsPSIjMDEwMTAxIiBkPSJNNDU5LjcgMjMzLjRsLTkwLjUgOTAuNWMtNTAgNTAtMTMxIDUwLTE4MSAwIC03LjktNy44LTE0LTE2LjctMTkuNC0yNS44bDQyLjEtNDIuMWMyLTIgNC41LTMuMiA2LjgtNC41IDIuOSA5LjkgOCAxOS4zIDE1LjggMjcuMiAyNSAyNSA2NS42IDI0LjkgOTAuNSAwbDkwLjUtOTAuNWMyNS0yNSAyNS02NS42IDAtOTAuNSAtMjQuOS0yNS02NS41LTI1LTkwLjUgMGwtMzIuMiAzMi4yYy0yNi4xLTEwLjItNTQuMi0xMi45LTgxLjYtOC45bDY4LjYtNjguNmM1MC01MCAxMzEtNTAgMTgxIDBDNTA5LjYgMTAyLjMgNTA5LjYgMTgzLjQgNDU5LjcgMjMzLjR6TTIyMC4zIDM4Mi4ybC0zMi4yIDMyLjJjLTI1IDI0LjktNjUuNiAyNC45LTkwLjUgMCAtMjUtMjUtMjUtNjUuNiAwLTkwLjVsOTAuNS05MC41YzI1LTI1IDY1LjUtMjUgOTAuNSAwIDcuOCA3LjggMTIuOSAxNy4yIDE1LjggMjcuMSAyLjQtMS40IDQuOC0yLjUgNi44LTQuNWw0Mi4xLTQyYy01LjQtOS4yLTExLjYtMTgtMTkuNC0yNS44IC01MC01MC0xMzEtNTAtMTgxIDBsLTkwLjUgOTAuNWMtNTAgNTAtNTAgMTMxIDAgMTgxIDUwIDUwIDEzMSA1MCAxODEgMGw2OC42LTY4LjZDMjc0LjYgMzk1LjEgMjQ2LjQgMzkyLjMgMjIwLjMgMzgyLjJ6Ii8+PC9zdmc+Cg==	/home/markmur88/api_bank_h2/staticfiles/drf-yasg/redoc-old/redoc.min.js	7	Python (Django)
data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABMAAACgCAMAAADZ0KclAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAAZQTFRF////////VXz1bAAAAAJ0Uk5T/wDltzBKAAAA80lEQVR42uSWSwLCIAxEX+5/aa2QZBJw5UIt9QMdRqSPEAAw/TyvqzZf150NzdXL49qreXwXjeqz9bqN1tgJl/KLyaVrrL7K7gx+1vlNMqy+helOO4rfBGYZiEkq1ubQ3DeKvc97Et+d+e01vIZlLZZqb1WNJFd8ZKYsmv4Hh3H2fDgjMUI5WSExjiEZs7rEZ5T+/jQn9lhgsw53j/e9MQtxqPsbZY54M5fNl/MY/f1s7NbRSkYlYjc0KPsWMrmhIU9933ywxDiSE+upYNH8TdusUotllNvcAUzfnE/NC4OSYyklQhpdl9E4Tw0Cm4/G9xBgAO7VCkjWLOMfAAAAAElFTkSuQmCC	/home/markmur88/api_bank_h2/staticfiles/drf-yasg/redoc-old/redoc.min.js	7	Python (Django)
data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgeD0iMCIgeT0iMCIgd2lkdGg9IjUxMiIgaGVpZ2h0PSI1MTIiIHZpZXdCb3g9IjAgMCA1MTIgNTEyIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCA1MTIgNTEyIiB4bWw6c3BhY2U9InByZXNlcnZlIj48cGF0aCBmaWxsPSIjMDEwMTAxIiBkPSJNNDU5LjcgMjMzLjRsLTkwLjUgOTAuNWMtNTAgNTAtMTMxIDUwLTE4MSAwIC03LjktNy44LTE0LTE2LjctMTkuNC0yNS44bDQyLjEtNDIuMWMyLTIgNC41LTMuMiA2LjgtNC41IDIuOSA5LjkgOCAxOS4zIDE1LjggMjcuMiAyNSAyNSA2NS42IDI0LjkgOTAuNSAwbDkwLjUtOTAuNWMyNS0yNSAyNS02NS42IDAtOTAuNSAtMjQuOS0yNS02NS41LTI1LTkwLjUgMGwtMzIuMiAzMi4yYy0yNi4xLTEwLjItNTQuMi0xMi45LTgxLjYtOC45bDY4LjYtNjguNmM1MC01MCAxMzEtNTAgMTgxIDBDNTA5LjYgMTAyLjMgNTA5LjYgMTgzLjQgNDU5LjcgMjMzLjR6TTIyMC4zIDM4Mi4ybC0zMi4yIDMyLjJjLTI1IDI0LjktNjUuNiAyNC45LTkwLjUgMCAtMjUtMjUtMjUtNjUuNiAwLTkwLjVsOTAuNS05MC41YzI1LTI1IDY1LjUtMjUgOTAuNSAwIDcuOCA3LjggMTIuOSAxNy4yIDE1LjggMjcuMSAyLjQtMS40IDQuOC0yLjUgNi44LTQuNWw0Mi4xLTQyYy01LjQtOS4yLTExLjYtMTgtMTkuNC0yNS44IC01MC01MC0xMzEtNTAtMTgxIDBsLTkwLjUgOTAuNWMtNTAgNTAtNTAgMTMxIDAgMTgxIDUwIDUwIDEzMSA1MCAxODEgMGw2OC42LTY4LjZDMjc0LjYgMzk1LjEgMjQ2LjQgMzkyLjMgMjIwLjMgMzgyLjJ6Ii8+PC9zdmc+Cg==	/home/markmur88/api_bank_h2/staticfiles/drf-yasg/redoc-old/redoc.min.js	7	Python (Django)
+o+	/home/markmur88/api_bank_h2/staticfiles/drf-yasg/redoc-old/redoc.min.js	7	Ruby (Rails)
data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZlcnNpb249IjEuMSIgeD0iMCIgeT0iMCIgd2lkdGg9IjUxMiIgaGVpZ2h0PSI1MTIiIHZpZXdCb3g9IjAgMCA1MTIgNTEyIiBlbmFibGUtYmFja2dyb3VuZD0ibmV3IDAgMCA1MTIgNTEyIiB4bWw6c3BhY2U9InByZXNlcnZlIj48cGF0aCBmaWxsPSIjMDEwMTAxIiBkPSJNNDU5LjcgMjMzLjRsLTkwLjUgOTAuNWMtNTAgNTAtMTMxIDUwLTE4MSAwIC03LjktNy44LTE0LTE2LjctMTkuNC0yNS44bDQyLjEtNDIuMWMyLTIgNC41LTMuMiA2LjgtNC41IDIuOSA5LjkgOCAxOS4zIDE1LjggMjcuMiAyNSAyNSA2NS42IDI0LjkgOTAuNSAwbDkwLjUtOTAuNWMyNS0yNSAyNS02NS42IDAtOTAuNSAtMjQuOS0yNS02NS41LTI1LTkwLjUgMGwtMzIuMiAzMi4yYy0yNi4xLTEwLjItNTQuMi0xMi45LTgxLjYtOC45bDY4LjYtNjguNmM1MC01MCAxMzEtNTAgMTgxIDBDNTA5LjYgMTAyLjMgNTA5LjYgMTgzLjQgNDU5LjcgMjMzLjR6TTIyMC4zIDM4Mi4ybC0zMi4yIDMyLjJjLTI1IDI0LjktNjUuNiAyNC45LTkwLjUgMCAtMjUtMjUtMjUtNjUuNiAwLTkwLjVsOTAuNS05MC41YzI1LTI1IDY1LjUtMjUgOTAuNSAwIDcuOCA3LjggMTIuOSAxNy4yIDE1LjggMjcuMSAyLjQtMS40IDQuOC0yLjUgNi44LTQuNWw0Mi4xLTQyYy01LjQtOS4yLTExLjYtMTgtMTkuNC0yNS44IC01MC01MC0xMzEtNTAtMTgxIDBsLTkwLjUgOTAuNWMtNTAgNTAtNTAgMTMxIDAgMTgxIDUwIDUwIDEzMSA1MCAxODEgMGw2OC42LTY4LjZDMjc0LjYgMzk1LjEgMjQ2LjQgMzkyLjMgMjIwLjMgMzgyLjJ6Ii8+PC9zdmc+Cg==	/home/markmur88/api_bank_h2/staticfiles/drf-yasg/redoc/redoc.min.js	132	Python (Django)
